id_observation;id_observation_sinp;id_releve;id_releve_sinp;code_perso;id_releve_type;lib_biblio;nom_herbier;nom_org_f;lib_releve_methode;date_releve_deb;date_releve_fin;nom_obs;id_precision;resolution;code_gps;id_maille_inpn_5;id_maille_inpn_10;x_l93;y_l93;lon_wgs84;lat_wgs84;insee_comm;commune;insee_dept;lieudit;comm_loc;pays;alti_inf;alti_calc;alti_sup;surface;plage_surface;comm_milieu;lib_geologie;lib_lithologie;comm_litho;lib_exposition;pente;plage_pente;cd_hab_eunis;lib_hab_eunis;lib_hab_ch;cd_hab_ch;lib_hab_sbf;cd_hab_sbf;lib_syntaxon;cd_ref_phyto;rec_total_pl;haut_total;rec_arbo_pl;haut_arbo;rec_arbu_pl;haut_arbu;rec_sarb_pl;haut_sarb;rec_herba_pl;haut_herba;rec_crypto_pl;haut_crypto;substr_roch_pl;substr_bloc_pl;substr_cail_pl;substr_terr_pl;substr_grav_pl;substr_sabl_pl;substr_liti_pl;substr_tuf_pl;nom_cite;cd_nom;nom_complet;cd_ref;nom_reconnu;rang;tax_type;famille;nombre_pieds;plage_nb_pieds;lib_strate;lib_phenologie1;lib_phenologie2;lib_deg_nat;abondance;sociab;lib_herbier;part_herbier1;comm_taxon;meta_original_id_obs;nom_programme;lib_org_comm;meta_comm;meta_original_id_rel;meta_original_bdd;sinp_dspublique;valid_reg
16743;e5bc4137-8d82-11e7-885f-1cc1dee9999c;4463;fba5c8e3-8d7b-11e7-885f-1cc1dee9999c;Rel 3;BIB;;;Conservatoire botanique national méditerranéen de Porquerolles;Relevé phytosociologique;10/09/2004;10/09/2004;INCONNU ;P;;;5kmL93E0700N6220;10kmL93E070N622;704111;6221272;3.05045034252264;43.0907202993932;11170;Gruissan;11;ILE SAINT-MARTIN;Etude PNR Narbonnaise : Inventaire et Cartographie au titre des Directives Habitats et Oiseaux dans les futurs sites Natura 2000 de Bages-Sigean et de La Palme;FR;30;18;30;;;Pinède;;;;Est;;< à 1°;;;;;;;Non réalisé;0;;;;;;;;;;;;;;;;;;;;;Smilax aspera L.;123987;Smilax aspera L., 1753;123987;Smilax aspera L., 1753;ES;P;Smilacaceae;;;Non précisée;;;;P;;;;;4657;;;;4657;RELEVE11.txt;;Probable
16754;e5bc8079-8d82-11e7-885f-1cc1dee9999c;4463;fba5c8e3-8d7b-11e7-885f-1cc1dee9999c;Rel 3;BIB;;;Conservatoire botanique national méditerranéen de Porquerolles;Relevé phytosociologique;10/09/2004;10/09/2004;INCONNU ;P;;;5kmL93E0700N6220;10kmL93E070N622;704111;6221272;3.05045034252264;43.0907202993932;11170;Gruissan;11;ILE SAINT-MARTIN;Etude PNR Narbonnaise : Inventaire et Cartographie au titre des Directives Habitats et Oiseaux dans les futurs sites Natura 2000 de Bages-Sigean et de La Palme;FR;30;18;30;;;Pinède;;;;Est;;< à 1°;;;;;;;Non réalisé;0;;;;;;;;;;;;;;;;;;;;;Quercus ilex L.;116704;Quercus ilex L., 1753;116704;Quercus ilex L., 1753;ES;P;Fagaceae;;;Non précisée;;;;1;;;;;4657;;;;4657;RELEVE11.txt;;Probable
21736;e62c4ba9-8d82-11e7-885f-1cc1dee9999c;5268;fbb8fe61-8d7b-11e7-885f-1cc1dee9999c;Ja001;RT;;;Conservatoire botanique national méditerranéen de Porquerolles;Relevé phytosociologique;19/04/2007;19/04/2007;ARGAGNON Olivier / PELLET Prune / INCONNU ;P;10;;5kmL93E0705N6225;10kmL93E070N622;708088;6225498;3.09932142646132;43.1286962228047;11170;Gruissan;11;CHAUCHOLE;Gruissan : pinède aux environs de Chauchole;FR;33;28;33;;11 à 100 m²;Pinède assez ouverte;;;;Nord;;< à 1°;;;;;;;Rosmarinetalia officinalis;608;50-75% (60%);;;;;;;;;;;;;;;;;;;;Smilax aspera L.;123987;Smilax aspera L., 1753;123987;Smilax aspera L., 1753;ES;P;Smilacaceae;;;Non précisée;;;;P;;;;;5463;Inventaire général du CBNMED;;;5463;RELEVE11.txt;;Probable
21744;e62c7a40-8d82-11e7-885f-1cc1dee9999c;5268;fbb8fe61-8d7b-11e7-885f-1cc1dee9999c;Ja001;RT;;;Conservatoire botanique national méditerranéen de Porquerolles;Relevé phytosociologique;19/04/2007;19/04/2007;ARGAGNON Olivier / PELLET Prune / INCONNU ;P;10;;5kmL93E0705N6225;10kmL93E070N622;708088;6225498;3.09932142646132;43.1286962228047;11170;Gruissan;11;CHAUCHOLE;Gruissan : pinède aux environs de Chauchole;FR;33;28;33;;11 à 100 m²;Pinède assez ouverte;;;;Nord;;< à 1°;;;;;;;Rosmarinetalia officinalis;608;50-75% (60%);;;;;;;;;;;;;;;;;;;;Aphyllanthes monspeliensis L.;83171;Aphyllanthes monspeliensis L., 1753;83171;Aphyllanthes monspeliensis L., 1753;ES;P;Asparagaceae;;;Non précisée;;;;1;;;;;5463;Inventaire général du CBNMED;;;5463;RELEVE11.txt;;Probable
21756;e62cbfd2-8d82-11e7-885f-1cc1dee9999c;5268;fbb8fe61-8d7b-11e7-885f-1cc1dee9999c;Ja001;RT;;;Conservatoire botanique national méditerranéen de Porquerolles;Relevé phytosociologique;19/04/2007;19/04/2007;ARGAGNON Olivier / PELLET Prune / INCONNU ;P;10;;5kmL93E0705N6225;10kmL93E070N622;708088;6225498;3.09932142646132;43.1286962228047;11170;Gruissan;11;CHAUCHOLE;Gruissan : pinède aux environs de Chauchole;FR;33;28;33;;11 à 100 m²;Pinède assez ouverte;;;;Nord;;< à 1°;;;;;;;Rosmarinetalia officinalis;608;50-75% (60%);;;;;;;;;;;;;;;;;;;;Quercus ilex L.;116704;Quercus ilex L., 1753;116704;Quercus ilex L., 1753;ES;P;Fagaceae;;;Non précisée;;;;P;;;;;5463;Inventaire général du CBNMED;;;5463;RELEVE11.txt;;Probable
21863;e62f2dcb-8d82-11e7-885f-1cc1dee9999c;5274;fbb9234a-8d7b-11e7-885f-1cc1dee9999c;Ja007;RT;;;Conservatoire botanique national méditerranéen de Porquerolles;Relevé phytosociologique;19/04/2007;19/04/2007;ARGAGNON Olivier / PELLET Prune / INCONNU ;P;;;5kmL93E0705N6225;10kmL93E070N622;709006;6227065;3.11062149983538;43.1427795868511;11170;Gruissan;11;TINAS;Gruissan : pinède, après le pont au N des mines de Tinas;FR;60;57;60;;;Pinède;;;;Sud-Ouest;;1° à 5°;;;;;;;Non réalisé;0;;;;;;;;;;;;;;;;;;;;;Aphyllanthes monspeliensis L.;83171;Aphyllanthes monspeliensis L., 1753;83171;Aphyllanthes monspeliensis L., 1753;ES;P;Asparagaceae;;;Non précisée;;;;P;;;;;5469;Inventaire général du CBNMED;;;5469;RELEVE11.txt;;Probable
77426;eb0cc1a9-8d82-11e7-885f-1cc1dee9999c;8664;fc0aca8f-8d7b-11e7-885f-1cc1dee9999c;Rel 5;BIB;Inconnu, . Etude PNR Narbonnaise : Site Natura 2000 Plateau de Leucate, FR 9101442 - Inventaire et cartographie des habitats;;Conservatoire botanique national méditerranéen de Porquerolles;Relevé phytosociologique;02/07/2004;02/07/2004;BRUNET Catherine;P;10;;5kmL93E0700N6200;10kmL93E070N620;704535;6201011;3.05547898748383;42.908501548006;11202;Leucate;11;PLATEAU DE LEUCATE;Sud-Est du Phare de Leucate. Etude PNR Narbonnaise : Site Natura 2000 Plateau de Leucate, FR 9101442 - Inventaire et cartographie des habitats;FR;60;48;60;;;Plateau. Bois de Pins d'Alep dense - Cor. 83.31;;;Substrat : Calcaire;Indéfinie;;;F5.1;Matorrals arborescents;;;;;Quercetea ilicis;551;>75% (100%);;;;;;;;;;;;;;;;;;;;Quercus ilex;116704;Quercus ilex L., 1753;116704;Quercus ilex L., 1753;ES;P;Fagaceae;;;Non précisée;;;;P;;;;;8868;;;;8868;RELEVE11.txt;;Probable
77429;eb0cd2c0-8d82-11e7-885f-1cc1dee9999c;8664;fc0aca8f-8d7b-11e7-885f-1cc1dee9999c;Rel 5;BIB;Inconnu, . Etude PNR Narbonnaise : Site Natura 2000 Plateau de Leucate, FR 9101442 - Inventaire et cartographie des habitats;;Conservatoire botanique national méditerranéen de Porquerolles;Relevé phytosociologique;02/07/2004;02/07/2004;BRUNET Catherine;P;10;;5kmL93E0700N6200;10kmL93E070N620;704535;6201011;3.05547898748383;42.908501548006;11202;Leucate;11;PLATEAU DE LEUCATE;Sud-Est du Phare de Leucate. Etude PNR Narbonnaise : Site Natura 2000 Plateau de Leucate, FR 9101442 - Inventaire et cartographie des habitats;FR;60;48;60;;;Plateau. Bois de Pins d'Alep dense - Cor. 83.31;;;Substrat : Calcaire;Indéfinie;;;F5.1;Matorrals arborescents;;;;;Quercetea ilicis;551;>75% (100%);;;;;;;;;;;;;;;;;;;;Sedum sediforme;122254;Sedum sediforme (Jacq.) Pau, 1909;122254;Sedum sediforme (Jacq.) Pau, 1909;ES;P;Crassulaceae;;;Non précisée;;;;P;;;;;8868;;;;8868;RELEVE11.txt;;Probable
77430;eb0cd878-8d82-11e7-885f-1cc1dee9999c;8664;fc0aca8f-8d7b-11e7-885f-1cc1dee9999c;Rel 5;BIB;Inconnu, . Etude PNR Narbonnaise : Site Natura 2000 Plateau de Leucate, FR 9101442 - Inventaire et cartographie des habitats;;Conservatoire botanique national méditerranéen de Porquerolles;Relevé phytosociologique;02/07/2004;02/07/2004;BRUNET Catherine;P;10;;5kmL93E0700N6200;10kmL93E070N620;704535;6201011;3.05547898748383;42.908501548006;11202;Leucate;11;PLATEAU DE LEUCATE;Sud-Est du Phare de Leucate. Etude PNR Narbonnaise : Site Natura 2000 Plateau de Leucate, FR 9101442 - Inventaire et cartographie des habitats;FR;60;48;60;;;Plateau. Bois de Pins d'Alep dense - Cor. 83.31;;;Substrat : Calcaire;Indéfinie;;;F5.1;Matorrals arborescents;;;;;Quercetea ilicis;551;>75% (100%);;;;;;;;;;;;;;;;;;;;Smilax aspera;123987;Smilax aspera L., 1753;123987;Smilax aspera L., 1753;ES;P;Smilacaceae;;;Non précisée;;;;P;;;;;8868;;;;8868;RELEVE11.txt;;Probable
78345;eb212fba-8d82-11e7-885f-1cc1dee9999c;8702;fc0bb6df-8d7b-11e7-885f-1cc1dee9999c;Rel 43;BIB;Inconnu, . Etude PNR Narbonnaise : Site Natura 2000 Plateau de Leucate, FR 9101442 - Inventaire et cartographie des habitats;;Conservatoire botanique national méditerranéen de Porquerolles;Relevé phytosociologique;26/07/2004;26/07/2004;ZERAïA Lamri / BRUNET Catherine;P;10;;5kmL93E0700N6200;10kmL93E070N620;704426;6202742;3.05416005952799;42.9240687548344;11202;Leucate;11;PLATEAU DE LEUCATE;Versant Sud du Cap des Trois Frères, en venant de l'Anse du Paradis. Etude PNR Narbonnaise : Site Natura 2000 Plateau de Leucate, FR 9101442 - Inventaire et cartographie des habitats;FR;6;20;10;;;Jeune Pineraie à Pin d'Alep - Cor. 83.31;;;Substrat : Marnes et blocs rocheux;Sud-Est;;27° à 44°;F5.1;Matorrals arborescents;;;;;Quercetea ilicis;551;50-75% (70%);;;;;;;;;;;;;;;;;;;;Helichrysum stoechas;101101;Helichrysum stoechas (L.) Moench, 1794;101101;Helichrysum stoechas (L.) Moench, 1794;ES;P;Asteraceae;;;Non précisée;;;;P;;;;;8906;;;;8906;RELEVE11.txt;;Probable
